DateTime,Estuary Name,SiteID,LoggerID,SampleDepth,Conductivity,Temp,DO
21/01/2020 17:00,Meroo Lake,MER1,MER1-Surface,0.5,,19.86,9.2
21/01/2020 17:15,Meroo Lake,MER1,MER1-Surface,0.5,,19.52,9.22
21/01/2020 17:30,Meroo Lake,MER1,MER1-Surface,0.5,,19.32,9.33
21/01/2020 17:45,Meroo Lake,MER1,MER1-Surface,0.5,,19.38,9.35
21/01/2020 18:00,Meroo Lake,MER1,MER1-Surface,0.5,,19.46,9.36
21/01/2020 18:15,Meroo Lake,MER1,MER1-Surface,0.5,,19.52,9.39
21/01/2020 18:30,Meroo Lake,MER1,MER1-Surface,0.5,,19.66,9.31
21/01/2020 18:45,Meroo Lake,MER1,MER1-Surface,0.5,,19.8,9.29
21/01/2020 19:00,Meroo Lake,MER1,MER1-Surface,0.5,,19.78,9.3
21/01/2020 19:15,Meroo Lake,MER1,MER1-Surface,0.5,,19.78,9.29
21/01/2020 19:30,Meroo Lake,MER1,MER1-Surface,0.5,,19.86,9.26
21/01/2020 19:45,Meroo Lake,MER1,MER1-Surface,0.5,,20.04,9.28
21/01/2020 20:00,Meroo Lake,MER1,MER1-Surface,0.5,,20.2,9.22
21/01/2020 20:15,Meroo Lake,MER1,MER1-Surface,0.5,,20.38,9.19
21/01/2020 20:30,Meroo Lake,MER1,MER1-Surface,0.5,,20.6,9.13
21/01/2020 20:45,Meroo Lake,MER1,MER1-Surface,0.5,,20.8,9.03
21/01/2020 21:00,Meroo Lake,MER1,MER1-Surface,0.5,,21.02,8.99
21/01/2020 21:15,Meroo Lake,MER1,MER1-Surface,0.5,,21.26,8.97
21/01/2020 21:30,Meroo Lake,MER1,MER1-Surface,0.5,,21.48,8.92
21/01/2020 21:45,Meroo Lake,MER1,MER1-Surface,0.5,,21.7,8.88
21/01/2020 22:00,Meroo Lake,MER1,MER1-Surface,0.5,,21.9,8.84
21/01/2020 22:15,Meroo Lake,MER1,MER1-Surface,0.5,,22.08,8.82
21/01/2020 22:30,Meroo Lake,MER1,MER1-Surface,0.5,,22.26,8.8
21/01/2020 22:45,Meroo Lake,MER1,MER1-Surface,0.5,,22.4,8.77
21/01/2020 23:00,Meroo Lake,MER1,MER1-Surface,0.5,,22.52,8.74
21/01/2020 23:15,Meroo Lake,MER1,MER1-Surface,0.5,,22.64,8.72
21/01/2020 23:30,Meroo Lake,MER1,MER1-Surface,0.5,,22.74,8.71
21/01/2020 23:45,Meroo Lake,MER1,MER1-Surface,0.5,,22.82,8.7
22/01/2020 0:00,Meroo Lake,MER1,MER1-Surface,0.5,,22.9,8.67
22/01/2020 0:15,Meroo Lake,MER1,MER1-Surface,0.5,,22.96,8.66
22/01/2020 0:30,Meroo Lake,MER1,MER1-Surface,0.5,,23,8.66
22/01/2020 0:45,Meroo Lake,MER1,MER1-Surface,0.5,,23.02,8.64
22/01/2020 1:00,Meroo Lake,MER1,MER1-Surface,0.5,,23.06,8.65
22/01/2020 1:15,Meroo Lake,MER1,MER1-Surface,0.5,,23.06,8.64
22/01/2020 1:30,Meroo Lake,MER1,MER1-Surface,0.5,,23.04,8.64
22/01/2020 1:45,Meroo Lake,MER1,MER1-Surface,0.5,,23.02,8.64
22/01/2020 2:00,Meroo Lake,MER1,MER1-Surface,0.5,,22.98,8.64
22/01/2020 2:15,Meroo Lake,MER1,MER1-Surface,0.5,,22.92,8.65
22/01/2020 2:30,Meroo Lake,MER1,MER1-Surface,0.5,,22.86,8.66
22/01/2020 2:45,Meroo Lake,MER1,MER1-Surface,0.5,,22.78,8.69
22/01/2020 3:00,Meroo Lake,MER1,MER1-Surface,0.5,,22.68,8.7
22/01/2020 3:15,Meroo Lake,MER1,MER1-Surface,0.5,,22.58,8.7
